{'ts': '20201217_161022_290', 'ring_rad': -2.494157432043771, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_299', 'ring_rad': -2.4984555134331163, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_305', 'ring_rad': -2.5197579295522416, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_311', 'ring_rad': -2.4430103400233607, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_320', 'ring_rad': -2.4689843996092655, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_332', 'ring_rad': -2.4983581220385993, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_345', 'ring_rad': -2.4144122689626455, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_351', 'ring_rad': -2.5742144091669568, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_358', 'ring_rad': -2.51171820419045, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_365', 'ring_rad': -2.4687140139475474, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_371', 'ring_rad': -2.4704206019069144, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_379', 'ring_rad': -2.5312608160681562, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_385', 'ring_rad': -2.5225965692586345, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_395', 'ring_rad': -2.4691879641373458, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_400', 'ring_rad': -2.581882153811578, 'Vout': 2.25, 'pic value': -2.25}
